,name,platform,year_of_release,genre,publisher,na_sales,eu_sales,jp_sales,other_sales,global_sales,critic_score,critic_count,user_score,user_count,developer,rating
1824,Skylanders: Spyro's Adventure,PS3,2011,Action,Activision,0.39,0.39,0.0,0.16,0.94,77.0,18.0,4.8,42.0,Toys for Bob,E10+
1825,MVP Baseball 2005,XB,2005,Sports,Electronic Arts,0.7,0.2,0.0,0.03,0.94,86.0,35.0,,,EA Sports,
1826,Phantasy Star Portable,PSP,2008,Role-Playing,Sega,0.19,0.06,0.63,0.05,0.94,64.0,38.0,7.8,19.0,Alfa System,T
1827,WWE SmackDown vs. Raw 2009,PS3,2008,Fighting,THQ,0.51,0.3,0.01,0.12,0.94,78.0,37.0,7.0,49.0,Yuke's,T
1828,NCAA Football 10,X360,2009,Sports,Electronic Arts,0.87,0.0,0.0,0.07,0.94,83.0,26.0,6.7,37.0,EA Tiburon,E
1829,Brutal Legend,PS3,2009,Action,Electronic Arts,0.54,0.27,0.0,0.13,0.94,83.0,61.0,7.6,162.0,Double Fine Productions,M
1830,Tony Hawk: RIDE,Wii,2009,Sports,Activision,0.69,0.17,0.0,0.08,0.94,47.0,15.0,4.5,21.0,Buzz Monkey,E10+
1831,Bully,PS2,2006,Action,Take-Two Interactive,0.75,0.03,0.04,0.12,0.94,87.0,69.0,9.1,293.0,Rockstar Vancouver,T
1832,Prince of Persia: The Sands of Time,XB,2003,Action,Ubisoft,0.57,0.33,0.0,0.04,0.94,92.0,41.0,7.8,72.0,Ubisoft,T
1833,MLB 06: The Show,PS2,2006,Sports,Sony Computer Entertainment,0.78,0.03,0.0,0.13,0.94,83.0,30.0,8.9,31.0,SCEA San Diego Studios,E
1834,NHL 2003,PS2,2002,Sports,Electronic Arts,0.46,0.36,0.0,0.12,0.93,79.0,20.0,6.8,18.0,EA Sports,E
1835,Naruto Shippuden: Ultimate Ninja Storm 3,PS3,2013,Fighting,Namco Bandai Games,0.32,0.32,0.15,0.15,0.93,77.0,32.0,7.9,187.0,CyberConnect2,T
1836,EA Sports UFC 2,PS4,2016,Sports,Electronic Arts,0.29,0.49,0.0,0.15,0.93,79.0,38.0,6.2,157.0,EA Sports,T
1837,The Sims 2,DS,2005,Simulation,Electronic Arts,0.81,0.05,0.0,0.07,0.93,70.0,13.0,6.1,24.0,Griptonite Games,E10+
1838,Tony Hawk's Pro Skater 4,XB,2002,Sports,Activision,0.59,0.3,0.0,0.04,0.93,90.0,25.0,8.5,21.0,Neversoft Entertainment,T
1839,Dragon Age: Inquisition,XOne,2014,Role-Playing,Electronic Arts,0.56,0.28,0.0,0.09,0.93,85.0,28.0,6.9,703.0,BioWare,M
1840,White Knight Chronicles: International Edition,PS3,2008,Role-Playing,Sony Computer Entertainment,0.33,0.16,0.36,0.08,0.93,64.0,77.0,7.5,213.0,Level 5,T
1841,SingStar Abba,PS3,2008,Misc,Sony Computer Entertainment,0.27,0.5,0.0,0.16,0.93,70.0,26.0,5.5,4.0,SCEE London Studio,T
1842,Kirby: Planet Robobot,3DS,2016,Action,Nintendo,0.28,0.14,0.47,0.04,0.93,81.0,71.0,8.7,87.0,HAL Labs,E
1843,Guitar Hero: Metallica,Wii,2009,Misc,Activision,0.4,0.43,0.0,0.1,0.93,85.0,20.0,8.6,17.0,Neversoft Entertainment,T
1844,Teenage Mutant Ninja Turtles,GBA,2003,Action,Unknown,0.67,0.25,0.0,0.02,0.93,71.0,16.0,8.8,8.0,Konami,E
1845,Bayonetta,X360,2009,Action,Sega,0.51,0.25,0.09,0.08,0.93,90.0,86.0,8.0,597.0,PlatinumGames,M
1846,MLB 07: The Show,PS2,2007,Sports,Sony Computer Entertainment,0.77,0.03,0.0,0.13,0.93,83.0,25.0,8.6,19.0,SCEA,E
1847,Cars,GC,2006,Racing,THQ,0.72,0.19,0.0,0.03,0.93,71.0,21.0,7.0,5.0,Rainbow Studios,E
1848,Build-A-Bear Workshop,DS,2007,Simulation,Game Factory,0.85,0.01,0.0,0.07,0.93,61.0,11.0,4.8,5.0,Neko Entertainment,E
1849,Kingdom Hearts Re:coded,DS,2010,Role-Playing,Square Enix,0.53,0.09,0.27,0.05,0.93,66.0,58.0,7.0,76.0,"Square Enix, h.a.n.d. Inc.",E10+
1850,Operation Flashpoint: Dragon Rising,X360,2009,Shooter,Codemasters,0.36,0.45,0.02,0.1,0.93,77.0,47.0,7.8,112.0,Codemasters,M
1851,Lego Batman 3: Beyond Gotham,PS4,2014,Action,Warner Bros. Interactive Entertainment,0.37,0.4,0.0,0.15,0.93,73.0,43.0,7.1,75.0,TT Games,E10+
1852,Wipeout: In The Zone,X360,2011,Misc,Activision,0.87,0.0,0.0,0.06,0.93,39.0,5.0,5.6,8.0,Activision,E10+
1853,SnoCross Championship Racing,PS,1999,Racing,Ubisoft,0.52,0.35,0.0,0.06,0.93,66.0,8.0,,,UDS,E
1854,Brothers in Arms: Hell's Highway,PS3,2008,Shooter,Ubisoft,0.44,0.34,0.0,0.15,0.93,76.0,48.0,8.0,70.0,Gearbox Software,M
1855,The LEGO Movie Videogame,PS3,2014,Action,Warner Bros. Interactive Entertainment,0.33,0.43,0.02,0.15,0.93,80.0,5.0,6.8,12.0,TT Games,E10+
1856,Assassin's Creed III,PC,2012,Action,Ubisoft,0.28,0.53,0.0,0.12,0.93,80.0,21.0,6.2,1489.0,Ubisoft,M
1857,Borderlands 2,PC,2012,Shooter,Take-Two Interactive,0.42,0.41,0.0,0.1,0.93,89.0,38.0,8.2,2482.0,Gearbox Software,M
1858,Teenage Mutant Ninja Turtles,PS2,2003,Action,Konami Digital Entertainment,0.45,0.35,0.0,0.12,0.92,59.0,29.0,8.7,31.0,KCE Studios,E
1859,Disney Magical World,3DS,2013,Adventure,Nintendo,0.17,0.2,0.53,0.03,0.92,71.0,27.0,7.5,21.0,h.a.n.d. Inc.,E
1860,Top Gun: Combat Zones,PS2,2001,Simulation,Titus,0.45,0.35,0.0,0.12,0.92,63.0,17.0,3.3,9.0,Titus Software,E
1861,NCAA Football 11,X360,2010,Sports,Electronic Arts,0.86,0.0,0.0,0.06,0.92,86.0,29.0,7.1,70.0,EA Tiburon,E
1862,007: The World is not Enough,PS,2000,Action,Electronic Arts,0.51,0.35,0.0,0.06,0.92,61.0,11.0,6.7,44.0,Black Ops Entertainment,T
1863,Cars,Wii,2006,Racing,THQ,0.83,0.03,0.0,0.07,0.92,65.0,13.0,,,Rainbow Studios,E
1864,Monster High: Ghoul Spirit,DS,2011,Misc,THQ,0.69,0.16,0.0,0.07,0.92,,,,,ImaginEngine,E
1865,Phoenix Wright: Ace Attorney,DS,2005,Adventure,Capcom,0.44,0.05,0.39,0.05,0.92,81.0,53.0,9.2,203.0,Capcom,T
1866,MLB 15: The Show,PS4,2015,Sports,Sony Computer Entertainment,0.68,0.08,0.0,0.17,0.92,80.0,44.0,7.8,190.0,SCEA San Diego Studios,E
1867,South Park: The Stick of Truth,PS3,2014,Role-Playing,Ubisoft,0.43,0.34,0.0,0.16,0.92,85.0,31.0,8.5,575.0,Obsidian Entertainment,M
1868,South Park: The Stick of Truth,X360,2014,Role-Playing,Ubisoft,0.58,0.26,0.0,0.09,0.92,82.0,33.0,8.4,363.0,Obsidian Entertainment,M
1869,MLB 12: The Show,PS3,2012,Sports,Sony Computer Entertainment,0.86,0.0,0.0,0.06,0.92,87.0,23.0,7.5,75.0,SCEA San Diego Studios,E
1870,SpongeBob SquarePants: The Yellow Avenger,PSP,2006,Action,THQ,0.55,0.21,0.0,0.16,0.92,48.0,9.0,6.4,13.0,Tantalus Interactive,E
1871,Dante's Inferno,X360,2010,Action,Electronic Arts,0.63,0.2,0.02,0.07,0.92,73.0,71.0,7.7,224.0,Visceral Games,M
1872,Wii Play: Motion,Wii,2011,Misc,Nintendo,0.23,0.42,0.18,0.09,0.92,60.0,34.0,6.1,16.0,Nintendo,E10+
1873,WWE SmackDown vs. Raw 2009,X360,2008,Fighting,THQ,0.58,0.26,0.0,0.08,0.92,79.0,47.0,7.1,34.0,Yuke's,T
1874,Sonic Riders,GC,2006,Racing,Sega,0.71,0.18,0.0,0.03,0.92,59.0,32.0,8.0,46.0,Sonic Team,E
1875,Blue Dragon,X360,2006,Role-Playing,Microsoft Game Studios,0.3,0.32,0.21,0.08,0.92,79.0,56.0,7.8,161.0,"Mistwalker, Artoon",T
1876,Harvest Moon 3D: A New Beginning,3DS,2012,Action,Marvelous Entertainment,0.41,0.17,0.3,0.05,0.91,74.0,21.0,8.2,62.0,Marvelous AQL,E
1877,Kung Fu Panda,Wii,2008,Action,Activision,0.5,0.32,0.0,0.09,0.91,70.0,20.0,6.7,7.0,Xpec,E10+
1878,EA Sports Active 2,PS3,2010,Sports,Electronic Arts,0.52,0.27,0.0,0.12,0.91,78.0,20.0,5.4,14.0,EA Canada,E
1879,Nickelodeon Fit,Wii,2010,Sports,Take-Two Interactive,0.76,0.09,0.0,0.06,0.91,,,,,High Voltage Software,E
1880,Knockout Kings 2002,PS2,2002,Sports,Electronic Arts,0.45,0.35,0.0,0.12,0.91,76.0,23.0,8.1,12.0,Electronic Arts,T
1881,Tom Clancy's EndWar,X360,2008,Strategy,Ubisoft,0.58,0.24,0.01,0.09,0.91,77.0,63.0,7.2,53.0,Ubisoft Shanghai,T
1882,LEGO Harry Potter: Years 5-7,PS3,0,Action,Warner Bros. Interactive Entertainment,0.36,0.41,0.0,0.15,0.91,76.0,27.0,8.3,48.0,Traveller's Tales,E10+
1883,Tokyo Xtreme Racer 3,PS2,2003,Racing,Genki,0.35,0.27,0.21,0.09,0.91,63.0,15.0,8.9,23.0,Genki,E
1884,Xenoblade Chronicles,Wii,2010,Role-Playing,Nintendo,0.43,0.25,0.16,0.07,0.91,92.0,59.0,8.9,950.0,Monolith Soft,T
1885,Colin McRae Rally 2.0,PS,2000,Racing,Codemasters,0.02,0.8,0.02,0.07,0.91,90.0,13.0,8.7,31.0,Codemasters,E
1886,Dynasty Warriors 7,PS3,2011,Action,Tecmo Koei,0.25,0.13,0.46,0.06,0.91,57.0,25.0,7.4,57.0,Omega Force,T
1887,NBA 2K14,XOne,2013,Sports,Take-Two Interactive,0.7,0.11,0.0,0.09,0.91,86.0,15.0,5.7,183.0,Visual Concepts,E
1888,Namco Museum,XB,0,Misc,Unknown,0.77,0.11,0.0,0.04,0.91,59.0,7.0,,,Mass Media,E
1889,SSX,PS3,2012,Sports,Electronic Arts,0.35,0.41,0.02,0.14,0.91,81.0,38.0,6.8,110.0,EA Canada,E
1890,Sonic Riders: Zero Gravity,Wii,2008,Racing,Sega,0.48,0.32,0.02,0.09,0.91,56.0,26.0,8.1,57.0,Sonic Team,E
1891,Sonic Mega Collection Plus,XB,2004,Misc,Sega,0.61,0.26,0.0,0.04,0.91,75.0,20.0,7.9,12.0,Sonic Team,E
1892,Operation Flashpoint: Dragon Rising,PS3,2009,Shooter,Codemasters,0.23,0.46,0.05,0.17,0.91,76.0,42.0,6.5,53.0,Codemasters,M
1893,Tiger Woods PGA Tour 2002,PS2,2002,Sports,Electronic Arts,0.44,0.35,0.0,0.12,0.9,80.0,23.0,7.6,5.0,EA Sports,E
1894,Lost Odyssey,X360,2007,Role-Playing,Microsoft Game Studios,0.45,0.26,0.11,0.08,0.9,78.0,68.0,8.3,432.0,Mistwalker,T
1895,Street Fighter V,PS4,2016,Fighting,Capcom,0.4,0.28,0.08,0.14,0.9,77.0,80.0,3.4,1221.0,Capcom,T
1896,Just Cause 3,XOne,2015,Action,Square Enix,0.44,0.39,0.0,0.08,0.9,71.0,24.0,7.0,186.0,Avalanche Studios,M
1897,MLB 2005,PS2,2004,Sports,Sony Computer Entertainment,0.44,0.35,0.0,0.12,0.9,78.0,36.0,7.6,9.0,989 Sports,E
1898,Marvel: Ultimate Alliance 2,X360,2009,Role-Playing,Activision,0.68,0.15,0.0,0.08,0.9,73.0,75.0,7.3,82.0,Vicarious Visions,T
1899,Burnout Revenge,PS2,2005,Racing,Electronic Arts,0.75,0.03,0.0,0.12,0.9,90.0,52.0,8.8,114.0,Criterion Games,E10+
1900,Crysis 3,X360,2013,Shooter,Electronic Arts,0.51,0.31,0.01,0.08,0.9,76.0,45.0,6.7,344.0,Crytek,M
1901,Far Cry 4,X360,2014,Shooter,Ubisoft,0.45,0.37,0.0,0.08,0.9,,,7.0,109.0,Ubisoft Montreal,M
1902,The Witcher 2: Assassins of Kings,X360,2012,Action,Namco Bandai Games,0.48,0.32,0.02,0.08,0.9,88.0,82.0,8.3,818.0,CD Projekt Red Studio,M
1903,Homefront,PS3,2011,Shooter,THQ,0.32,0.39,0.04,0.15,0.9,70.0,60.0,5.7,174.0,Kaos Studios,M
1904,LEGO Jurassic World,PS4,2015,Action,Warner Bros. Interactive Entertainment,0.32,0.42,0.02,0.14,0.9,70.0,46.0,7.0,80.0,TT Games,E10+
1905,The Elder Scrolls Online,PC,2014,Role-Playing,Bethesda Softworks,0.32,0.51,0.0,0.07,0.9,71.0,64.0,5.7,2421.0,ZeniMax Media,M
1906,Hot Shots Tennis,PS2,2006,Sports,Sony Computer Entertainment,0.17,0.13,0.55,0.05,0.9,70.0,44.0,8.1,8.0,Clap Hanz,E
1907,MX vs. ATV Reflex,PS3,2009,Racing,THQ,0.52,0.25,0.0,0.12,0.9,74.0,44.0,7.4,10.0,Rainbow Studios,E
1908,Madden NFL 25,PS4,2013,Sports,Electronic Arts,0.63,0.13,0.0,0.15,0.9,74.0,13.0,5.2,118.0,EA Sports,E
1909,Sonic Heroes,XB,2003,Platform,Sega,0.41,0.43,0.01,0.05,0.9,73.0,28.0,7.6,34.0,Sonic Team,E
1910,Spider-Man 3,PS2,2007,Platform,Activision,0.74,0.03,0.01,0.12,0.9,50.0,14.0,6.5,28.0,Vicarious Visions,T
1911,James Bond 007: Agent Under Fire,XB,2002,Shooter,Electronic Arts,0.65,0.22,0.0,0.03,0.9,71.0,16.0,7.5,15.0,Electronic Arts,T
1912,LEGO Pirates of the Caribbean: The Video Game,DS,2011,Action,Disney Interactive Studios,0.34,0.46,0.0,0.1,0.9,69.0,5.0,,,Traveller's Tales,E10+
1913,LEGO Marvel Super Heroes,3DS,2013,Action,Warner Bros. Interactive Entertainment,0.42,0.36,0.04,0.07,0.9,61.0,4.0,5.2,11.0,TT Games,E10+
1914,DJ Hero,PS3,2009,Misc,Activision,0.42,0.34,0.0,0.14,0.9,86.0,53.0,7.8,49.0,FreeStyleGames,T
1915,Skylanders: Trap Team,X360,2014,Action,Activision,0.54,0.27,0.0,0.08,0.9,,,,,Toys for Bob,E10+
1916,X-Men Legends,XB,2004,Role-Playing,Activision,0.62,0.24,0.0,0.04,0.9,82.0,63.0,8.5,14.0,Raven Software,T
1917,NBA Live 2005,XB,2004,Sports,Electronic Arts,0.81,0.05,0.0,0.04,0.9,85.0,28.0,7.6,14.0,EA Canada,E
1918,Harry Potter: Quidditch World Cup,PS2,2003,Sports,Electronic Arts,0.44,0.34,0.0,0.11,0.9,68.0,21.0,6.6,27.0,Magic Pockets,E
1919,LEGO The Lord of the Rings,Wii,2012,Action,Warner Bros. Interactive Entertainment,0.48,0.34,0.0,0.07,0.9,,,7.2,21.0,TT Games,E10+
1920,Madagascar,GBA,2005,Platform,Activision,0.62,0.24,0.0,0.03,0.89,71.0,6.0,,,Vicarious Visions,E
1921,Blitz: The League,PS2,2005,Sports,Unknown,0.74,0.03,0.0,0.12,0.89,76.0,25.0,8.0,20.0,Midway,M
1922,The Biggest Loser: Ultimate Workout,X360,2010,Sports,THQ,0.73,0.1,0.0,0.06,0.89,68.0,11.0,,,Blitz Games Studios,E
1923,Castlevania: Circle of the Moon,GBA,2001,Platform,Konami Digital Entertainment,0.6,0.22,0.05,0.02,0.89,91.0,22.0,8.5,59.0,KCEK,T
1924,SOCOM 4: U.S. Navy SEALs,PS3,2011,Shooter,Sony Computer Entertainment,0.66,0.11,0.04,0.08,0.89,67.0,64.0,6.3,121.0,Zipper Interactive,M
1925,Tiger Woods PGA Tour 06,PS2,2005,Sports,Electronic Arts,0.74,0.03,0.0,0.12,0.89,83.0,29.0,6.2,16.0,EA Sports,E
1926,FIFA Street,X360,2012,Sports,Electronic Arts,0.17,0.62,0.0,0.1,0.89,77.0,47.0,6.7,58.0,EA Sports,E
1927,Classic NES Series: The Legend of Zelda,GBA,2004,Adventure,Nintendo,0.46,0.17,0.24,0.02,0.89,84.0,16.0,8.6,58.0,Nintendo,E
1928,Fire Emblem: The Sacred Stones,GBA,2004,Strategy,Nintendo,0.42,0.16,0.3,0.02,0.89,85.0,38.0,9.1,132.0,Intelligent Systems,E
1929,TouchMaster 2,DS,2008,Puzzle,Midway Games,0.3,0.49,0.0,0.1,0.89,76.0,8.0,,,Midway Studios - San Diego,E
1930,Killzone: Liberation,PSP,2006,Shooter,Sony Computer Entertainment,0.44,0.27,0.0,0.18,0.89,77.0,56.0,8.3,80.0,Guerrilla,T
1931,Finding Nemo,GC,2003,Action,THQ,0.69,0.18,0.0,0.02,0.89,62.0,11.0,5.5,8.0,Traveller's Tales,E
1932,Lego Batman 3: Beyond Gotham,X360,2014,Action,Warner Bros. Interactive Entertainment,0.48,0.33,0.0,0.08,0.89,,,6.8,14.0,TT Games,E10+
1933,Ace Combat 2,PS,1997,Simulation,Sony Computer Entertainment,0.16,0.11,0.56,0.06,0.89,83.0,10.0,8.2,22.0,Namco,T
1934,NFL 2K2,PS2,2001,Sports,Sega,0.44,0.34,0.0,0.11,0.89,85.0,16.0,7.5,6.0,Visual Concepts,E
1935,Pure,PS3,2008,Racing,Disney Interactive Studios,0.42,0.33,0.0,0.14,0.89,83.0,43.0,7.8,30.0,Black Rock Studio,E
1936,Resistance: Retribution,PSP,2009,Shooter,Sony Computer Entertainment,0.27,0.35,0.05,0.21,0.89,81.0,67.0,8.1,84.0,Sony Bend,M
1937,Call of Duty: World at War,DS,2008,Shooter,Activision,0.56,0.25,0.0,0.08,0.89,75.0,12.0,7.8,20.0,n-Space,T
1938,Tiger Woods PGA Tour 12: The Masters,PS3,2011,Sports,Electronic Arts,0.52,0.25,0.0,0.11,0.89,80.0,41.0,7.3,17.0,Electronic Arts,E
1939,FIFA Soccer 09 All-Play,Wii,2008,Sports,Electronic Arts,0.28,0.51,0.0,0.09,0.89,80.0,18.0,8.4,22.0,EA Canada,E
1940,LEGO Indiana Jones 2: The Adventure Continues,PS3,2009,Action,Activision,0.47,0.29,0.0,0.13,0.89,70.0,25.0,7.1,16.0,Traveller's Tales,E10+
1941,Fossil Fighters,DS,2008,Role-Playing,Nintendo,0.83,0.0,0.0,0.06,0.89,70.0,17.0,7.9,15.0,RED Entertainment,E
1942,NCAA Football 13,PS3,2012,Action,Electronic Arts,0.82,0.0,0.0,0.07,0.89,79.0,9.0,4.1,34.0,EA Tiburon,E
1943,Samba De Amigo,Wii,2008,Misc,Sega,0.41,0.37,0.01,0.09,0.88,68.0,43.0,8.1,40.0,Gearbox Software,E
1944,The Simpsons Game,PS3,2007,Action,Electronic Arts,0.38,0.36,0.0,0.15,0.88,71.0,30.0,7.5,49.0,EA Redwood Shores,T
1945,Call of Duty: Modern Warfare 2,PC,2009,Shooter,Activision,0.01,0.79,0.0,0.09,0.88,86.0,40.0,4.2,6430.0,Infinity Ward,M
1946,The Tomb Raider Trilogy,PS3,2011,Action,Square Enix,0.27,0.46,0.0,0.15,0.88,78.0,37.0,8.1,60.0,Crystal Dynamics,T
1947,F1 2010,X360,2010,Racing,Codemasters,0.18,0.59,0.01,0.1,0.88,84.0,43.0,7.5,65.0,Codemasters Birmingham,E
1948,Call of Juarez: Bound in Blood,PS3,2009,Shooter,Ubisoft,0.35,0.37,0.01,0.15,0.88,78.0,47.0,7.8,91.0,Techland,M
1949,NBA 2K6,PS2,2005,Action,Take-Two Interactive,0.43,0.34,0.0,0.11,0.88,84.0,23.0,8.3,13.0,Visual Concepts,E
1950,Dissidia 012: Duodecim Final Fantasy,PSP,2011,Fighting,Square Enix,0.21,0.12,0.46,0.08,0.88,78.0,52.0,8.3,144.0,Square Enix,T
1951,Monster 4X4: World Circuit,Wii,2006,Racing,Ubisoft,0.8,0.0,0.01,0.07,0.88,51.0,11.0,7.8,17.0,Ubisoft,E
1952,Far Cry: Primal,XOne,2016,Action,Ubisoft,0.47,0.33,0.0,0.08,0.88,77.0,27.0,6.4,194.0,Ubisoft Montreal,M
1953,Resident Evil: Revelations,3DS,2012,Action,Capcom,0.3,0.22,0.3,0.05,0.88,82.0,78.0,8.5,397.0,Capcom,M
1954,Sonic Chronicles: The Dark Brotherhood,DS,2008,Role-Playing,Sega,0.5,0.29,0.01,0.08,0.88,74.0,55.0,7.3,81.0,BioWare,E
1955,Star Wars: The Force Unleashed,DS,2008,Action,LucasArts,0.5,0.28,0.0,0.09,0.88,61.0,8.0,5.5,18.0,n-Space,T
1956,Grand Theft Auto IV,PC,2008,Action,Take-Two Interactive,0.01,0.79,0.0,0.07,0.88,90.0,40.0,6.6,2299.0,Rockstar Toronto,M
1957,Rock Band 3,X360,2010,Misc,MTV Games,0.73,0.09,0.0,0.06,0.88,93.0,57.0,8.2,137.0,Harmonix Music Systems,T
1958,WWE SmackDown vs. Raw 2011,X360,2010,Fighting,THQ,0.44,0.35,0.0,0.08,0.88,75.0,49.0,7.6,45.0,Yuke's,T
1959,ESPN NHL 2K5,PS2,2004,Sports,Global Star,0.43,0.33,0.0,0.11,0.88,86.0,25.0,8.1,18.0,Kush Games,E
1960,Borderlands: The Handsome Collection,PS4,2015,Shooter,Take-Two Interactive,0.38,0.33,0.03,0.14,0.88,82.0,49.0,7.8,345.0,Gearbox Software,M
1961,Crimson Skies: High Road to Revenge,XB,2003,Simulation,Microsoft Game Studios,0.65,0.19,0.0,0.03,0.87,88.0,49.0,8.8,45.0,FASA Studio,T
1962,Madden NFL 08,Wii,2007,Sports,Electronic Arts,0.8,0.0,0.0,0.07,0.87,76.0,29.0,6.8,27.0,EA Tiburon,E
1963,Spec Ops: Ranger Elite,PS,2001,Shooter,TalonSoft,0.49,0.33,0.0,0.06,0.87,48.0,4.0,6.6,16.0,Runecraft,T
1964,F1 2009,Wii,2009,Racing,Codemasters,0.15,0.62,0.0,0.11,0.87,69.0,29.0,7.2,30.0,Sumo Digital,E
1965,Tom Clancy's Ghost Recon: Island Thunder,XB,2003,Shooter,Ubisoft,0.61,0.24,0.0,0.03,0.87,81.0,33.0,8.8,17.0,Red Storm Entertainment,M
1966,Sleeping Dogs,X360,2012,Action,Square Enix ,0.38,0.4,0.01,0.08,0.87,80.0,47.0,7.9,468.0,United Front Games,M
1967,Kingdoms of Amalur: Reckoning,X360,2012,Role-Playing,Electronic Arts,0.55,0.24,0.01,0.07,0.87,80.0,71.0,7.7,446.0,Big Huge Games,M
1968,Kingdom Hearts Re: Chain of Memories,PS2,2008,Role-Playing,Square Enix,0.73,0.03,0.0,0.12,0.87,68.0,20.0,7.2,105.0,Jupiter Corporation,E10+
1969,Phantasy Star Portable 2,PSP,2009,Role-Playing,Sega,0.08,0.11,0.62,0.06,0.87,69.0,27.0,8.1,35.0,Alfa System,T
1970,Michael Jackson: The Experience,X360,2011,Misc,Ubisoft,0.62,0.18,0.0,0.07,0.87,63.0,31.0,6.8,29.0,Ubisoft Montreal,E10+
1971,LittleBigPlanet Karting,PS3,2012,Action,Sony Computer Entertainment,0.42,0.3,0.01,0.15,0.87,73.0,69.0,6.9,159.0,"Media Molecule, United Front Games",E
1972,Tony Hawk's Project 8,PS2,2006,Sports,Activision,0.72,0.03,0.0,0.12,0.87,69.0,17.0,7.3,19.0,Shaba Games,T
1973,GRID,X360,2008,Racing,Codemasters,0.33,0.44,0.01,0.09,0.87,87.0,62.0,7.9,131.0,Codemasters,E
1974,DiRT,X360,2007,Racing,Codemasters,0.38,0.4,0.0,0.09,0.87,83.0,59.0,7.4,94.0,Codemasters,E
1975,Red Faction: Guerrilla,X360,2009,Shooter,THQ,0.48,0.29,0.01,0.09,0.87,85.0,84.0,8.1,237.0,Volition Inc.,M
1976,Fight Night Round 2,PS2,2005,Fighting,Electronic Arts,0.72,0.03,0.0,0.12,0.87,88.0,37.0,9.0,37.0,EA Sports,T
1977,Conflict: Desert Storm,XB,2002,Shooter,SCi,0.48,0.37,0.0,0.02,0.87,65.0,14.0,8.1,17.0,SCi,T
1978,LEGO Jurassic World,X360,2015,Action,Warner Bros. Interactive Entertainment,0.47,0.32,0.0,0.08,0.87,,,7.1,14.0,TT Games,E10+
1979,Triple Play 2002,PS2,2002,Sports,Electronic Arts,0.43,0.33,0.0,0.11,0.87,65.0,17.0,,,Pandemic Studios,E
1980,Cooking Mama: World Kitchen,Wii,2008,Simulation,505 Games,0.51,0.27,0.01,0.08,0.87,62.0,17.0,4.9,12.0,Cooking Mama Limited,E
1981,Brothers in Arms: Hell's Highway,X360,2008,Shooter,Ubisoft,0.47,0.3,0.0,0.09,0.87,76.0,65.0,8.3,149.0,Gearbox Software,M
1982,Vagrant Story,PS,2000,Role-Playing,Crave Entertainment,0.3,0.2,0.3,0.06,0.87,92.0,19.0,8.3,129.0,SquareSoft,T
1983,Warriors Orochi,PS2,2007,Action,Tecmo Koei,0.11,0.09,0.64,0.03,0.87,55.0,14.0,8.2,16.0,Omega Force,T
1984,Crysis 3,PS3,2013,Shooter,Electronic Arts,0.26,0.42,0.03,0.16,0.87,77.0,23.0,6.3,288.0,Crytek,M
1985,Mercenaries 2: World in Flames,PS3,2008,Shooter,Electronic Arts,0.29,0.39,0.02,0.16,0.87,72.0,43.0,7.1,73.0,Pandemic Studios,T
1986,SingStar '90s,PS2,2007,Misc,Sony Computer Entertainment,0.1,0.59,0.0,0.18,0.87,73.0,29.0,,,SCEE,T
1987,Wizards of Waverly Place,DS,2009,Misc,Disney Interactive Studios,0.59,0.2,0.0,0.08,0.86,58.0,7.0,,,Disney Interactive Studios,E
1988,Ghostbusters: The Video Game,Wii,2009,Action,Atari,0.59,0.2,0.0,0.07,0.86,76.0,29.0,8.5,28.0,Red Fly Studio,E10+
1989,Guitar Hero Live,PS4,2015,Misc,Activision,0.34,0.38,0.0,0.14,0.86,80.0,69.0,6.2,160.0,FreeStyleGames,T
1990,Endless Ocean: Blue World,Wii,2009,Simulation,Nintendo,0.46,0.21,0.12,0.06,0.86,76.0,42.0,8.5,26.0,Arika,E10+
1991,Winning Eleven: Pro Evolution Soccer 2007,PSP,2006,Sports,Konami Digital Entertainment,0.01,0.72,0.12,0.01,0.86,81.0,10.0,8.3,14.0,KCET,E
1992,Rocky,PS2,2002,Fighting,Rage Software,0.42,0.33,0.0,0.11,0.86,74.0,14.0,8.4,11.0,Rage Software,T
1993,Ford Racing,PS,2001,Racing,Empire Interactive,0.48,0.33,0.0,0.06,0.86,53.0,4.0,5.8,4.0,Toolbox Design,E
1994,Guitar Hero: Warriors of Rock,X360,2010,Misc,Activision,0.47,0.31,0.0,0.08,0.86,72.0,65.0,6.5,51.0,Neversoft Entertainment,T
1995,Lemmings,PSP,2006,Puzzle,Sony Computer Entertainment,0.12,0.51,0.0,0.23,0.86,76.0,46.0,7.9,14.0,Team 17,E
1996,Dynasty Warriors 4: Xtreme Legends,PS2,2003,Action,Tecmo Koei,0.17,0.13,0.51,0.04,0.86,72.0,15.0,9.1,39.0,Omega Force,T
1997,Pictionary,Wii,2010,Puzzle,THQ,0.6,0.19,0.0,0.07,0.85,71.0,7.0,,,Page 44 Studios,E
1998,2010 FIFA World Cup South Africa,X360,2010,Sports,Electronic Arts,0.32,0.42,0.02,0.09,0.85,83.0,61.0,8.1,58.0,Electronic Arts,E
1999,Tomb Raider: Anniversary,Wii,2007,Action,Eidos Interactive,0.12,0.62,0.0,0.11,0.85,73.0,22.0,7.3,25.0,Crystal Dynamics,T
